state,Asian,Black,Hispanic,Native American,Pacific Islander,Unknown race,White,Total
AK,0,0,0,2,1,0,1,4
AL,0,6,1,0,0,0,8,15
AR,1,6,0,0,0,3,5,15
AZ,0,4,10,1,0,3,5,23
CA,3,10,33,1,1,12,20,80
CO,0,2,4,1,0,3,16,26
CT,0,1,1,0,0,0,0,2
DC,0,1,0,0,0,0,0,1
DE,0,1,0,0,0,0,2,3
FL,0,14,2,0,0,1,13,30
GA,0,21,0,0,0,3,12,36
HI,1,0,0,0,2,0,0,3
IA,0,1,0,0,0,0,6,7
ID,0,1,1,0,0,1,5,8
IL,0,6,4,0,0,1,0,11
IN,0,8,0,0,0,2,8,18
KS,0,1,1,0,0,0,3,5
KY,0,2,0,0,0,4,12,18
LA,0,7,0,0,0,0,7,14
MA,1,0,1,0,0,0,0,2
MD,0,3,2,0,0,0,1,6
ME,0,0,0,0,0,0,1,1
MI,2,3,0,0,0,3,4,12
MN,1,2,1,2,0,0,4,10
MO,0,6,1,0,0,4,12,23
MS,0,2,0,0,0,2,5,9
MT,0,1,0,2,0,0,2,5
NC,0,7,0,0,0,0,7,14
ND,0,0,0,1,0,0,1,2
NE,0,1,0,0,0,0,0,1
NH,0,0,0,0,0,0,2,2
NJ,0,2,0,0,0,1,0,3
NM,0,1,7,0,0,0,3,11
NV,0,4,5,0,0,1,3,13
NY,0,5,1,0,0,0,3,9
OH,1,4,0,0,0,3,8,16
OK,0,2,1,0,0,3,16,22
OR,0,0,0,0,0,1,2,3
PA,0,8,0,0,0,0,5,13
SC,0,3,0,0,0,4,5,12
SD,0,0,0,0,0,1,0,1
TN,0,8,1,0,0,3,11,23
TX,0,15,15,0,0,4,14,48
UT,0,0,0,1,0,0,5,6
VA,0,1,0,0,0,2,4,7
VT,0,0,0,0,0,0,1,1
WA,0,6,7,0,2,4,1,20
WI,0,5,1,2,0,2,7,17
WV,0,2,0,0,0,0,1,3
WY,0,0,1,0,0,0,2,3
Total,10,183,101,13,6,71,253,637
